S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,Date and Time
                                        1,ACLBSL,                                        670.00,                                        2.90,                                        0.43,                                        679.90,                                        679.90,                                        653.80,"                                        1,425.00",                                        667.10,2023-07-20 15:00:00
                                        2,ADBL,                                        255.00,                                        -3.80,                                        -1.47,                                        262.00,                                        262.00,                                        252.00,"                                        50,631.00",                                        258.80,2023-07-20 15:00:00
                                        3,AHL,                                        339.10,                                        5.10,                                        1.53,                                        328.10,                                        347.00,                                        328.10,"                                        4,735.00",                                        334.00,2023-07-20 15:00:00
                                        4,AHPC,                                        255.10,                                        -1.90,                                        -0.74,                                        259.90,                                        261.50,                                        252.90,"                                        102,058.00",                                        257.00,2023-07-20 15:00:00
                                        5,AKJCL,                                        192.90,                                        1.40,                                        0.73,                                        194.00,                                        195.30,                                        190.30,"                                        23,105.00",                                        191.50,2023-07-20 15:00:00
                                        6,AKPL,                                        226.10,                                        -1.40,                                        -0.62,                                        228.00,                                        231.90,                                        223.00,"                                        93,412.00",                                        227.50,2023-07-20 15:00:00
                                        7,ALBSL,                                        807.00,                                        -11.00,                                        -1.34,                                        830.00,                                        830.00,                                        802.00,"                                        1,500.00",                                        818.00,2023-07-20 15:00:00
                                        8,ALICL,                                        755.00,                                        -7.00,                                        -0.92,                                        770.00,                                        770.00,                                        747.00,"                                        50,722.00",                                        762.00,2023-07-20 15:00:00
                                        9,ANLB,"                                        2,355.00",                                        -55.00,                                        -2.28,"                                        2,410.00","                                        2,424.90","                                        2,325.00","                                        3,026.00","                                        2,410.00",2023-07-20 15:00:00
                                        10,API,                                        198.10,                                        0.10,                                        0.05,                                        200.00,                                        201.50,                                        195.00,"                                        88,593.00",                                        198.00,2023-07-20 15:00:00
                                        11,AVYAN,                                        777.00,                                        45.00,                                        6.15,                                        717.40,                                        777.00,                                        717.40,"                                        7,940.00",                                        732.00,2023-07-20 15:00:00
                                        12,BARUN,                                        255.80,                                        7.80,                                        3.15,                                        252.00,                                        259.00,                                        248.00,"                                        32,288.00",                                        248.00,2023-07-20 15:00:00
                                        13,BBC,"                                        4,101.90",                                        372.90,                                        10.00,"                                        3,700.00","                                        4,101.90","                                        3,680.00","                                        3,432.00","                                        3,729.00",2023-07-20 15:00:00
                                        14,BEDC,                                        236.00,                                        4.00,                                        1.72,                                        230.00,                                        236.60,                                        226.00,"                                        12,037.00",                                        232.00,2023-07-20 15:00:00
                                        15,BFC,                                        357.00,                                        -1.70,                                        -0.47,                                        365.00,                                        365.00,                                        353.10,"                                        10,567.00",                                        358.70,2023-07-20 15:00:00
                                        16,BHDC,                                        377.00,                                        7.00,                                        1.89,                                        363.00,                                        377.00,                                        363.00,"                                        1,395.00",                                        370.00,2023-07-20 15:00:00
                                        17,BHL,                                        258.00,                                        -2.00,                                        -0.77,                                        260.00,                                        265.00,                                        250.00,"                                        12,072.00",                                        260.00,2023-07-20 15:00:00
                                        18,BHPL,                                        457.10,                                        7.10,                                        1.58,                                        441.50,                                        465.10,                                        441.50,"                                        2,687.00",                                        450.00,2023-07-20 15:00:00
